peak_id,peak_name,height_metres,climbing_status,first_ascent_year,first_ascent_country,first_ascent_expedition_id
PHOL,Phole,6645,Unclimbed,NA,NA,NA
PHUK,Phu Kang,6694,Unclimbed,NA,NA,NA
LNGK,Langchung Khang,6786,Unclimbed,NA,NA,NA
PK04,Peak 4,6736,Unclimbed,NA,NA,NA
NAM2,Nampa II,6585,Unclimbed,NA,NA,NA
NAM3,Nampa III,6611,Unclimbed,NA,NA,NA
NAMS,Nampa South,6130,Unclimbed,NA,NA,NA
SOBI,Sobithongie,6652,Unclimbed,NA,NA,NA
SHER,Shershon,6432,Unclimbed,NA,NA,NA
SWAK,Swaksa Kang,6405,Unclimbed,NA,NA,NA
TILJ,Tilje,6530,Unclimbed,NA,NA,NA
TSAR,Tsartse,6343,Climbed,2018,"Japan, Nepal",TSAR18301
YAKA,Yakawa Kang,6482,Climbed,2010,"Japan, Nepal",YAKA10301
YAUP,Yaupa,6422,Climbed,1989,"UK, USA",YAUP89301
TILK,Til Kang,6369,Climbed,2018,UK,TILK18301
YOKO,Yokopahar,6423,Unclimbed,NA,NA,NA
SALW,Saldim West,6388,Climbed,2016,Romania,SALW16301
SAMD,Samdo,6335,Climbed,2009,Japan,SAMD09302
PURK,Purkhung,6126,Climbed,2004,Japan,PURK04201
DZAS,Dzasampatse,6295,Climbed,2004,Slovenia,DZAS04301
SWEL,Swelokhan,6180,Unclimbed,NA,NA,NA
MUPK,Mustang Peak,6229,Climbed,2001,"Japan, Nepal",MUPK01301
JING,Jinjang,6111,Climbed,NA,NA,NA
JOBO,Jobo Rinjang,6778,Climbed,2009,USA,JOBO09101
KYAB,Kyabura,6294,Unclimbed,NA,NA,NA
KUML,Kumlung,6355,Climbed,2008,France,KUML08301
DGAR,Dhaulagari,6638,Unclimbed,NA,NA,NA
LHAY,Lhayul Peak,6395,Unclimbed,NA,NA,NA
MERR,Merra,6334,Climbed,2006,Denmark,MERR06301
PBUK,Pabuk Kang,6244,Unclimbed,NA,NA,NA
YANK,Yanme Kang,6206,Climbed,2017,France,YANK17301
DANS,Danphe Shail,6103,Climbed,2017,"France, Nepal",DANS17301
GAN7,Ganesh VII,6350,Unclimbed,NA,NA,NA
PHAR,Pharilapcha,6017,Climbed,2003,Nepal,PHAR03101
THOR,Thorong Peak,6144,Climbed,2007,"Japan, Nepal",THOR07301
CHKA,Chamar Kang,6060,Climbed,2007,"Japan, Nepal",CHKA07301
NUPK,Nupche Kang,6576,Climbed,1964,"W Germany, Nepal",NUPK64101
PUCH,Punchen Himal,6049,Unclimbed,NA,NA,NA
KAKU,Kang Kuru,6344,Climbed,2008,USA,KAKU08101
AMPM,Amphu Middle,6202,Climbed,2008,Germany,AMPM08101
LUGU,Lugula,6899,Climbed,2010,France,LUGU10301
BHRS,Bhrikuti Shail,6361,Climbed,2005,"France, Nepal",BHRS05101
MYAG,Myagdi Matha,6273,Unclimbed,NA,NA,NA
TOBS,Tobsar,6065,Climbed,2017,Nepal,TOBS17301
DINS,Dingjung Ri,6196,Climbed,2008,Japan,DINS08101
DUDH,Dudh Kundali,6045,Climbed,1953,"Austria, Nepal, India",DUDH53301
KAGA,Kanta Gaton,5910,Climbed,2009,"France, Nepal",KAGA09201
KAPT,Kaptang,5965,Climbed,2009,"Japan, Nepal",KAPT09201
ROMA,Roma,5407,Unclimbed,NA,NA,NA
RIPI,Ripimo Shar,6647,Climbed,1952,UK,RIPI52101
TSIS,Tsisima,6196,Climbed,1963,"Japan, Nepal",TSIS63101
TAWA,Tawa,6110,Climbed,2010,"Japan, Nepal",TAWA10301
URMA,Urkema,5890,Climbed,2007,"Taiwan, S Korea, Singapore, Australia, Nepal",URMA07301
MPNW,Manapathi NW,6384,Climbed,1977,"Italy, UK, W Germany",MPNW77101
LUNR,Lunag Ri,6895,Unclimbed,NA,NA,NA
JASG,Jasemba Goth,6730,Climbed,1964,W Germany,JASG64101
GOJN,Gojung,6310,Climbed,2011,UK,GOJN11301
